document_control_number,total_release,medium
1323222247304,33,air
1324222944187,30918,air
1320218746384,16907,air
1320218997839,24,air
1319218044687,2598,air
1322220646588,0,air
1324222911935,3728,air
1321220140863,10,air
1314213152717,0,air
1323221730411,0,air
1320219297177,8885,air
1321220161501,0,air
1319217852336,149,air
1318216949952,43552,air
1317216222188,29371,air
1315214272698,671,air
1318216911154,0,air
1318217385018,0,air
1315214185720,16,air
1319217684962,500,air
1324222800474,6226,air
1320218983880,0,air
1322220823759,0,air
1322221112321,10,air
1315214452866,5,air
1315213624327,0,air
1317216607578,0,air
1323221663444,0,air
1314213044100,6434,air
1316216650820,5,air
1323221769969,16,air
1315213694983,1070,air
1324222629394,5,air
1323221532474,10,air
1316214936270,318154,air
1318217547393,2,air
1314212908988,0,air
1323221539911,10,air
1318216764720,13066,air
1314212460582,0,air
1324222602447,0,air
1321219716356,313,air
1323221642756,15452,air
1323223208745,5075,air
1323221735107,10,air
1314212792749,171,air
1321220222335,5,air
1324222452409,14700,air
1324222711893,697,air
1318216859025,0,air
1319217761396,0,air
1315213625712,0,air
1317216234284,437,air
1319217629637,0,air
1322221025339,31,air
1316215205408,944,air
1322220663850,11,air
1324222559736,2108,air
1320219075710,0,air
1315213847876,3,air
1320219191400,430,air
1324222848576,1159,air
1316215205497,385,air
1321220296228,0,air
1316215004755,131,air
1319218131581,5,air
1319218034318,0,air
1317216368264,2480,air
1315213536218,0,air
1318216960260,0,air
1315215788694,0,air
1318218605564,2,air
1321219778558,1000,air
1317216051779,0,air
1314212631143,65047,air
1324222650943,0,air
1324222665349,530,air
1314212503231,500,air
1320218742942,0,air
1323222404586,0,air
1322221043452,0,air
1319218588667,7775,air
1323222275671,0,air
1316215701297,0,air
1314212555989,3004,air
1314213065170,431891,air
1315218523532,0,air
1324222461295,2164,air
1315214223467,2047,air
1322220764827,11140,air
1323222077289,82586,air
1323222309914,11415,air
1316215458314,0,air
1314212753242,5,air
1324223159753,5,air
1314212996262,4,air
1315213758004,7964,air
1322220667289,27866,air
1315214349173,0,air
1317216306934,2059,air
1317216243131,548,air
1314213046028,209,air
1315213645411,0,air
1323221572199,0,air
1314213240524,30,air
1324222750945,27346,air
1314212442925,1,air
1314212777736,49743,air
1316215137985,6,air
1315213753179,0,air
1316215052794,10,air
1316215151438,12920,air
1316215791219,0,air
1316215127453,0,air
1314212902516,3,air
1314212841492,0,air
1318216969244,190,air
1322221565551,0,air
1321219689977,3031,air
1317218615146,0,air
1315214217263,2329,air
1314212996300,7,air
1314212313934,0,air
1322221148479,71672,air
1315215310994,1,air
1319218390654,1121,air
1321219926615,0,air
1314213061916,1480,air
1322221274261,500,air
1314212891598,1,air
1320219337300,13,air
1319218044675,1323,air
1323221570841,0,air
1320218748453,20,air
1315213820424,0,air
1316215159536,6278,air
1321220123158,1,air
1321219933379,0,air
1322220742163,255,air
1314211948765,19,air
1322220955292,4,air
1314211938218,0,air
1315213894835,2075,air
1315214361899,501,air
1314212802540,1,air
1320218748008,1436,air
1318216798013,0,air
1323221727706,22544,air
1317215820604,0,air
1321220442281,10,air
1315214452512,1500,air
1319218162283,38,air
1321220197216,0,air
1317216382224,2300,air
1321219677010,0,air
1324223124088,10,air
1323221735780,51,air
1316217664414,15,air
1315213629405,0,air
1323222167850,18,air
1314217031309,1000,air
1315214288716,0,air
1322220630812,20479,air
1319217770433,0,air
1323221821414,645,air
1321219569946,1,air
1323222284604,711,air
1322221030529,5795,air
1317216010278,1316,air
1321220163808,0,air
1321219665421,10957,air
1317216432411,0,air
1317216015685,0,air
1315213661034,0,air
1320219393384,0,air
1314212322299,0,air
1317216422939,15,air
1314213016456,1673,air
1314212416566,0,air
1315213606421,0,air
1316215264159,82,air
1314211915234,13989,air
1315213996667,2,air
1324222582431,0,air
1323221967211,0,air
1314212945493,17000,air
1321219854611,828,air
1322221498470,5,air
1324222594804,0,air
1314213057033,20300,air
1315213731591,1180,air
1318217021435,5941,air
1323222323368,10,air
1319222394621,88000,air
1320218888333,0,air
1315214067872,11003,air
1314213010679,6,air
1317216017145,25,air
1314212857698,0,air
1317216100812,10,air
1315213191861,0,air
1315214272813,1508,air
1322221218706,1295,air
1320219305152,0,air
1318216865978,0,air
1316215579855,4862,air
1317216433755,46,air
1320218865677,1,air
1316216627962,255,air
1323222044152,5824,air
1324222893152,0,air
1315218552608,140,air
1320218964548,0,air
1318217049927,0,air
1316214959278,2161,air
1316215352891,1454,air
1314211926771,10,air
1314212874945,50,air
1314212996286,0,air
1321220420095,221,air
1317216126173,0,air
1316217695143,382,air
1317216200117,0,air
1317216068395,10,air
1321219630403,6,air
1320221515719,5,air
1324222542538,3,air
1319218212569,0,air
1319217959790,10,air
1323222068987,155,air
1315214215345,2313,air
1314212641676,307,air
1315214084067,0,air
1323222063911,9410,air
1317216057036,5,air
1321219611415,1,air
1315214215358,192,air
1324223163229,1,air
1320219089327,230,air
1315214406365,596,air
1321219882471,0,air
1316215435165,14050,air
1315213944770,0,air
1315214111751,2133,air
1320219220542,21,air
1315214463061,3,air
1324222569992,59,air
1317215804257,8020,air
1317215804826,843,air
1316215579828,1854,air
1321219994860,22,air
1316214978672,0,air
1323221781521,0,air
1316215635398,81,air
1314212679385,4902,air
1315213713035,19,air
1316215054964,0,air
1320219319771,0,air
1321220642666,0,air
1321220142398,635,air
1316214978660,0,air
1323221547274,0,air
1322221697257,0,air
1315214277055,208,air
1322221098597,0,air
1318217254705,740,air
1314212623615,12500,air
1314212444893,5,air
1314212789491,544,air
1319218198772,0,air
1317216589693,108812,air
1322220694564,5,air
1316215232277,860,air
1315213619378,0,air
1324222878910,100,air
1321219773886,0,air
1315214412328,495,air
1324222684375,682,air
1324222560094,0,air
1322221441227,0,air
1314212469910,4221,air
1314212321590,2,air
1314212524932,0,air
1314212585083,6865,air
1316215711627,0,air
1319218199077,2468,air
1315214032714,0,air
1314214388821,6,air
1314213253747,0,air
1314212861809,15513,air
1324222868186,0,air
1323221955255,27740,air
1318216694265,1,air
1322220669131,0,air
1315213962374,22,air
1319217666662,422,air
1323221705748,4,air
1323221571110,87650,air
1323221535127,362,air
1324222408674,380,air
1321220545368,514,air
1321220553174,0,air
1315214048225,10,air
1318217415999,0,air
1324222861611,15,air
1320218605780,57,air
1314212321816,0,air
1316215132147,0,air
1316215710815,0,air
1316215084536,353,air
1314212575219,21,air
1316218552572,102,air
1317216637835,18845,air
1319217795184,0,air
1315214180376,0,air
1322221295797,0,air
