document_control_number,source_reduction_activity_code,estimated_annual_reduction_code,activity_number
1316215151438,W71,R6,1
1316215791219,W81,R2,1
1316215127453,W19,R6,1
1314212902516,W14,R4,1
1314212841492,W58,R2,1
1318216969244,W19,R4,1
1322221565551,S11,R6,1
1321219689977,S24,R3,1
1317218615146,W42,R3,1
1315214217263,W13,R5,1
1314212996300,W19,R6,1
1314212313934,W13,R6,1
1322221148479,S41,R6,1
1315215310994,W15,R6,1
1319218390654,W89,R5,1
1321219926615,S44,R5,1
1314213061916,W58,R5,1
1322221274261,S24,R6,1
1314212891598,W42,R4,1
1320219337300,W13,R6,1
1319218044675,W13,R6,1
1323221570841,S21,R6,1
1320218748453,W36,R6,1
1315213820424,W49,R3,1
1316215159536,W21,R6,1
1321220123158,S23,R5,1
1321219933379,S41,R6,1
1322220742163,S21,R6,1
1314211948765,W13,R2,1
1322220955292,S35,R6,1
1314211938218,W58,R6,1
1315213894835,W56,R5,1
1315214361899,W42,R2,1
1314212802540,W14,R5,1
1320218748008,W36,R6,1
1318216798013,W82,R3,1
1323221727706,S44,R6,1
1317215820604,W19,R5,1
1321220442281,S05,R2,1
1315214452512,W42,R5,1
1319218162283,W43,R5,1
1321220197216,S23,R5,1
1317216382224,W56,R6,1
1321219677010,S41,R6,1
1324223124088,S21,R6,1
1323221735780,S24,R5,1
1316217664414,W19,R2,1
1315213629405,W58,R3,1
1323222167850,S34,R6,1
1314217031309,W13,R5,1
1315214288716,W19,R6,1
1322220630812,S23,R2,1
1319217770433,W21,R6,1
1323221821414,S21,R6,1
1321219569946,S44,R4,1
1323222284604,S41,R3,1
1322221030529,S44,R6,1
1317216010278,W51,R5,1
1321220163808,S24,R6,1
1321219665421,S04,R1,1
1317216432411,W59,R4,1
1317216015685,W58,R6,1
1315213661034,W13,R3,1
1320219393384,W36,R4,1
1314212322299,W13,R6,1
1317216422939,W49,R5,1
1314213016456,W42,R3,1
1314212416566,W89,R3,1
1315213606421,W58,R3,1
1316215264159,W19,R5,1
1314211915234,W52,R6,1
1315213996667,W81,R3,1
1324222582431,S05,R5,1
1323221967211,S21,R5,1
1314212945493,W59,R6,1
1321219854611,S21,R6,1
1322221498470,S31,R6,1
1324222594804,S03,R2,1
1314213057033,W35,R6,1
1315213731591,W42,R4,1
1318217021435,W14,R5,1
1323222323368,S05,R2,1
1319222394621,W58,R2,1
1320218888333,W13,R6,1
1315214067872,W42,R6,1
1314213010679,W78,R6,1
1317216017145,W19,R3,1
1314212857698,W14,R3,1
1317216100812,W13,R6,1
1315213191861,W13,R3,1
1315214272813,W19,R6,1
1322221218706,S44,R6,1
1320219305152,W21,R5,1
1318216865978,W83,R4,1
1316215579855,W36,R6,1
1317216433755,W51,R6,1
1320218865677,W19,R6,1
1316216627962,W59,R2,1
1323222044152,S35,R6,1
1324222893152,S35,R6,1
