doc_ctrl_num,tri_facility_id,cas_registry_number,reporting_year,max_amount_code,produce,imported,sale_distribution,byproduct,process_impurity,industry_code
1323221875661,80634LVLND14520,7697-37-2,2023,05,0,0,0,0,0,325
1321219640000,50703DVNCD2825M,79-01-6,2021,03,0,0,0,0,0,332
1321219810571,98168FRWST4522S,1330-20-7,2021,03,0,0,0,0,0,325
1316214985222,76504CNTRF3320P,N090,2016,05,0,0,0,0,0,331
1322221083696,13476DRYLCWARDS,7697-37-2,2022,04,0,0,0,0,0,311
1320218929255,28315CRLNGSR207,7440-50-8,2020,05,0,0,0,0,0,331
1323221660525,67460MNVLLCOUNT,N458,2023,01,1,0,0,1,1,327
1324222873782,62881RDCBR1015S,91-20-3,2024,05,0,0,0,0,0,327
1322221441316,37744TRWNCSNAPP,7440-02-0,2022,04,0,0,0,0,0,333
1320219357478,06239THDLT39WAU,N982,2020,04,1,0,0,1,0,326
1315214102360,43537NTRCN434WD,75-09-2,2015,03,0,0,0,0,0,325
1316215015381,03062TRDYN4PITT,N420,2016,03,1,0,0,1,0,334
1319218411938,9205WNNSTN4115A,872-50-4,2019,03,0,0,0,0,0,313
1319217665862,20774NWDWN16001,N230,2019,04,0,0,0,0,0,325
1316215493343,3760WLMTXX167RW,7439-92-1,2016,03,0,0,0,0,0,333
1319218273415,54476CRYST2608R,1330-20-7,2019,04,0,0,0,0,0,332
1315214295115,98134LSKNC32006,N090,2015,04,0,0,0,0,0,332
1315214339160,5061WWLSRN71CHA,7440-47-3,2015,05,0,0,0,0,0,332
1315214361545,49007KLSCN3713W,110-54-3,2015,03,0,0,0,0,0,311
1315213694045,5475WTLSRSW1899,7664-41-7,2015,03,1,0,0,1,0,325
1316215640448,6306WMTCNC11JEF,N230,2016,03,0,0,0,0,0,325
1314212626927,84104TWDMB1847S,7439-96-5,2014,03,1,0,0,1,0,336
1323222044012,37744TRWNCSNAPP,7439-92-1,2023,03,0,0,0,0,0,333
1323221806425,71360DRWDTWADLE,N150,2023,17,0,0,0,0,1,321
1321219596259,76712CCCLF8400I,7697-37-2,2021,04,0,0,0,0,0,3121
1316214989826,84115DCRPR2645S,N420,2016,04,0,0,0,0,0,334
1314211916919,45036SCHMD360HA,100-42-5,2014,03,0,0,0,0,0,326
1315213655069,43606BTLSP2112S,50-00-0,2015,04,0,0,0,0,0,325
1320219217484,44117LNCLN22801,7440-50-8,2020,05,1,0,0,1,0,333
1322221141753,27709SCMMT2601W,7440-36-0,2022,05,1,0,1,0,0,331
1314212659270,01757BNJMN49SUM,1330-20-7,2014,05,0,0,0,0,0,325
1320218836183,44203MLCPR361FA,67-56-1,2020,04,0,0,0,0,0,325
1315213211562,1755WGRNRN165ST,108-88-3,2015,04,0,0,0,0,0,332
1322220732349,27261MRSHF1001S,71-36-3,2022,03,0,0,0,0,0,337
1320218732408,9363WBLTMR15341,N100,2020,04,0,0,0,0,0,333
1324223153533,02780PMSTR355CO,7439-92-1,2024,02,0,0,0,0,0,335
1323222379796,45309MCGRG365CA,7439-92-1,2023,03,0,0,0,0,0,334
1315214475764,36193RHMMN2600E,7440-47-3,2015,04,0,0,0,0,1,335
1314213117866,4206WNVNSY939SU,7439-92-1,2014,02,0,0,0,0,0,334
1324222438893,7601WHNTSM3315E,107-21-1,2024,06,0,0,0,0,0,325
1317215996149,44138MRCNW7951B,N010,2017,03,0,0,0,0,0,335
1318216708014,85019TRNWY4626N,80-62-6,2018,04,0,0,0,0,0,327
1318217672308,37644SNPNTSTATE,7440-47-3,2018,04,0,0,0,0,0,332
1320219274901,1906WNFNTY2PRGR,N982,2020,04,0,0,0,0,0,325
1315214428777,70634WSTVCPOBOX,80-05-7,2015,05,0,0,0,0,0,325
1316215027018,8100WVSTST1TWER,71-36-3,2016,05,0,0,0,0,0,332
1316215745670,60131MRCNS10352,N420,2016,01,0,0,0,0,1,327
1322221102320,12603MRCMF55PAG,7439-92-1,2022,02,0,0,0,0,0,334
1316215394899,37744BLLZNBALLR,7439-92-1,2016,04,0,0,0,0,1,331
1324222893024,28086CMMRC101CA,N450,2024,04,0,0,0,0,0,333
1320219359926,48750TTNDS4700N,N010,2020,04,0,0,0,0,0,326
1321220097366,02745CSHNT215DU,N120,2021,03,0,0,0,0,0,339
1320219319769,17405NWYRK829LO,7440-50-8,2020,04,0,0,0,0,0,331
1314212382713,44622ZMMRP200WE,117-81-7,2014,04,0,0,0,0,0,339
1316215127313,68467SNDST2800D,7440-47-3,2016,04,0,0,0,0,0,336
1324222565259,7906WPMPFL821FM,67-56-1,2024,07,1,0,1,0,0,325
1323222353815,29732MCMTL445BR,N495,2023,02,0,0,0,0,0,332
1322221199084,3561WMRCNL136RY,100-41-4,2022,03,0,0,0,0,0,339
1315213707514,75203LXTTC2465J,7440-43-9,2015,02,0,0,0,0,0,339
1317216501193,42141RMNCX20ABE,7440-66-6,2017,03,0,1,0,0,0,336
1315214436735,48176SLNNS7700M,N982,2015,03,0,0,0,0,0,336
1316215120357,45242STLCR9017B,N230,2016,04,0,0,0,0,0,332
1317216464432,54220ZNTHS5710V,7440-50-8,2017,04,0,0,0,0,0,332
1324222691091,16749QKRSTINTER,1330-20-7,2024,03,0,0,0,0,0,324
1324222432813,85210PHMNP112WI,7440-47-3,2024,01,0,0,0,0,0,333
1315213846583,91749CMCCH18383,7697-37-2,2015,04,0,0,0,0,0,325
1316215168675,23228MNVLL7400R,N010,2016,04,0,0,0,0,0,322
1321219800772,47374BLDNW350NO,N982,2021,05,0,0,0,0,0,331
1322220959151,04401SRMYM3HILD,7439-92-1,2022,03,0,0,0,0,0,999
1320219287036,83303MLGMTPOBOX,7664-41-7,2020,04,1,0,0,1,0,311
1314213089954,98607LNRTC4200N,7664-39-3,2014,04,0,0,0,0,0,334
1314212512495,92022MTKNC790GR,7440-47-3,2014,03,0,0,0,0,0,336
1322220635421,60139WBSTR704EF,7664-41-7,2022,03,0,0,0,0,0,332
1317215820642,31728TRRNG2525T,7664-41-7,2017,03,0,0,0,0,0,332
1315216737054,53901CLMBNW8385,N040,2015,05,1,0,0,1,0,2211
1318217659477,01845PHRMC70FLA,67-56-1,2018,04,0,0,0,0,0,325
1316215553316,17512GRNNL1411L,121-44-8,2016,04,0,0,0,0,0,331
1320218885642,04401SRMYM3HILD,7439-92-1,2020,03,0,0,0,0,0,999
1324223184868,98134LSKNC32006,N495,2024,03,0,0,0,0,0,332
1315213721665,56215CHPPW27020,75-07-0,2015,01,1,0,0,0,0,325
1323221791039,07036PRMNT1515W,7697-37-2,2023,03,0,0,0,0,0,332
1315213727148,76427RMRNNHWY38,1330-20-7,2015,03,0,0,0,0,0,332
1320219349103,7748WGDMNM191KE,7440-50-8,2020,06,0,0,0,0,0,333
1322221002153,00841VRGNSESTAT,N511,2022,02,0,0,0,0,0,3121
1317215977428,87107GNRLT1450M,7439-92-1,2017,02,0,0,0,0,0,334
1316215605712,45377LCSLD801SC,7439-92-1,2016,02,0,0,0,0,0,334
1318217149158,38109BRMNG3601P,N420,2018,05,0,1,0,0,1,331
1316216252231,37406WDBRD100JU,584-84-9,2016,05,0,0,0,0,0,326
1316215668056,7757WGSNNV185EH,115-07-1,2016,05,0,0,0,0,0,4247
1315213610722,24244TMPRP4700B,26471-62-5,2015,05,0,0,0,0,0,337
1317216284772,66542FLXLN6000S,50-00-0,2017,03,0,0,0,0,0,325
1321220139568,17356GNRLD200EH,7439-92-1,2021,02,0,0,0,0,0,336
1322221144746,42101KBLMN525CE,7429-90-5,2022,03,1,0,0,0,1,332
1316215798529,5310WPPLDM1956P,50-00-0,2016,02,0,0,0,0,0,325
1315214007231,28392CRLNFHWY87,10049-04-4,2015,01,1,0,0,0,0,311
1315213207261,55112MCMCR4758T,7440-50-8,2015,03,0,0,0,0,0,334
1314211909724,0887WNWWRL1RAND,7440-02-0,2014,05,0,0,0,0,0,331
1316215277474,44875HSTLT140WE,7440-47-3,2016,05,0,0,0,0,1,331
1321220650776,24203MRRSN400CO,100-42-5,2021,05,0,0,0,0,0,326
1324222712224,9050WPLYPP365MA,68-12-2,2024,04,0,0,0,0,0,325
1321219708183,6155WBRDLY231DB,115-07-1,2021,03,0,0,0,0,0,332
1321219720556,44138MRCNW7951B,7440-50-8,2021,05,0,0,0,0,0,335
1314213022179,6676WCSTML48VER,7440-50-8,2014,04,0,0,0,0,1,331
1315213968112,5543WGNRLD113HA,7439-92-1,2015,02,0,0,0,0,0,334
1316215161098,89423BNTLY1631B,7439-92-1,2016,03,0,0,0,0,0,334
1321219944485,5574WDTRTR3895S,7439-92-1,2021,02,0,0,0,0,1,334
1314212734747,43056RCKWLROUTE,7439-96-5,2014,04,0,0,0,0,0,336
1314212963425,58201JRSMP3630G,7783-06-4,2014,03,1,0,0,1,0,311
1314212804518,8523WBHMNT1331W,N511,2014,04,0,0,0,0,0,325
1324222598157,47670TYTMT4000T,N230,2024,02,0,0,0,0,0,336
1324222638278,48071FRNDL31600,7439-96-5,2024,05,0,0,0,0,0,332
1324222448654,7757WDBWST12511,7782-50-5,2024,03,0,0,0,0,0,325
1316215102498,79927MCGLL9560P,N010,2016,04,0,0,0,0,0,335
1315213896145,7840WBCKYT151SU,115-07-1,2015,07,1,0,0,0,0,324
1319218496178,12138TCNCPCOONB,100-41-4,2019,04,0,0,0,0,0,313
1315214215232,50616SLSBR1900R,64-18-6,2015,04,0,0,0,0,0,325
1320219185699,57032SHWPL1ENTE,N230,2020,02,0,0,0,0,0,337
1314212350300,4601WNSTS431W7X,79-21-0,2014,03,0,0,0,0,0,311
1321219828466,55041HTNGL800JE,1330-20-7,2021,02,0,0,0,0,0,333
1314212365795,67213RCPTL1702S,108-88-3,2014,03,0,0,0,0,0,332
1324223063761,76501DLTCN3402C,N090,2024,05,0,0,0,0,0,332
1315213806007,40403MTRWHGLADE,7440-02-0,2015,04,0,0,0,0,0,332
1315214144139,45162THHRT5374L,26002-80-2,2015,03,0,0,0,0,0,311
1315214157036,2870WVRTQN115VI,1330-20-7,2015,04,0,0,0,0,1,333
1315214381384,78023VNTNM13310,100-42-5,2015,03,0,0,0,0,0,327
1319218213039,54701WRRNV5200S,108-90-7,2019,05,0,0,0,0,0,562
1315214295836,63111RHNPL133EK,63-25-2,2015,05,0,0,0,0,0,325
1317216583613,3708WRLNCW11CEN,N100,2017,03,0,0,0,0,0,332
1314212573683,43725LMCST804BY,N420,2014,02,0,0,0,0,0,326
1315214157024,2870WVRTQN115VI,108-88-3,2015,03,0,0,0,0,0,333
1316216293682,30024KTLCM70CRE,N420,2016,03,0,0,0,0,0,336
1317216335176,52627CHVRN1800S,N511,2017,05,0,0,0,0,0,325
1324222800361,4912WMDNRP2121W,7440-50-8,2024,06,0,0,0,0,1,336
1322221293487,60622SPMTL1720E,7439-96-5,2022,04,0,0,0,0,0,331
1321219705480,13221GNRLLELECT,N420,2021,03,1,0,1,0,0,334
1322221036585,16601MRWYN3701B,7439-92-1,2022,05,0,0,0,0,0,331
1316215132198,45856PRTCC5000C,7439-92-1,2016,01,1,0,0,0,1,332
1322221475559,6721WCHRMP3939W,N090,2022,04,0,0,0,0,0,332
1319218515359,06497HMPFR292LO,75-09-2,2019,04,0,0,0,0,0,325
1323221569458,58075PRMBR2441N,N120,2023,05,0,0,0,0,0,339
1319217987407,92621BRSTL630EL,N106,2019,03,0,0,0,0,0,332
1317216255152,02703CHMTC52GAR,N740,2017,06,1,0,1,0,0,332
1321220310977,28655CTPLL90CER,N450,2021,02,0,0,0,0,0,336
1323222021469,37873PCLCN306GE,7440-66-6,2023,04,0,0,0,0,1,323
1314212388185,46975RCHST616IN,7440-39-3,2014,04,0,0,0,0,0,331
1322220982173,3383WFLRKN244CM,N450,2022,04,0,0,0,0,0,325
1323221684739,0204WNXTGN11NRF,N230,2023,04,0,0,0,0,0,325
1320219118344,65769SYNTXFIRST,75-21-8,2020,06,0,0,0,0,0,325
1319218045387,6183WRGDNV3NAND,67-56-1,2019,05,0,0,0,0,0,325
1323221590033,95050DVNCD2210W,7439-97-6,2023,01,0,0,0,0,0,335
1323221774019,04401SRMYM3HILD,7439-92-1,2023,03,0,0,0,0,0,999
1323221966930,44105LMNMC1600H,7697-37-2,2023,05,0,0,0,0,0,332
